date,net_value,net_return,cumulative_return
2025-01-02,1000000.0,-0.5,0.0
2025-01-03,1000000.0,-0.5,-0.5
2025-01-06,1000000.0,-0.5,-0.75
2025-01-07,1000000.0,-0.5,-0.875
2025-01-08,1000000.0,-0.5,-0.9375
2025-01-09,1000000.0,-0.5,-0.96875
2025-01-10,1000000.0,-0.5,-0.984375
2025-01-13,1000000.0,-0.5,-0.9921875
2025-01-14,1000000.0,-0.5,-0.99609375
2025-01-15,1000000.0,-0.5,-0.998046875
2025-01-16,1000000.0,-0.5,-0.9990234375
2025-01-17,1000000.0,-0.5,-0.99951171875
2025-01-20,1000000.0,-0.5,-0.999755859375
2025-01-21,1000000.0,-0.5,-0.9998779296875
2025-01-22,1000000.0,-0.5,-0.99993896484375
2025-01-23,1000000.0,-0.5,-0.999969482421875
2025-01-24,1000000.0,-0.5,-0.9999847412109375
2025-01-27,1000000.0,-0.5,-0.9999923706054688
2025-02-05,1000000.0,-0.5,-0.9999961853027344
2025-02-06,1000000.0,-0.5,-0.9999980926513672
2025-02-07,1000000.0,-0.5,-0.9999990463256836
2025-02-10,1000000.0,-0.5,-0.9999995231628418
2025-02-11,1000000.0,-0.5,-0.9999997615814209
2025-02-12,1000000.0,-0.5,-0.9999998807907104
2025-02-13,1000000.0,-0.5,-0.9999999403953552
2025-02-14,1000000.0,-0.5,-0.9999999701976776
2025-02-17,1000000.0,-0.5,-0.9999999850988388
2025-02-18,1000000.0,-0.5,-0.9999999925494194
2025-02-19,1000000.0,-0.5,-0.9999999962747097
2025-02-20,1000000.0,-0.5,-0.9999999981373549
2025-02-21,1000000.0,-0.5,-0.9999999990686774
2025-02-24,1000000.0,-0.5,-0.9999999995343387
2025-02-25,1000000.0,-0.5,-0.9999999997671694
2025-02-26,1000000.0,-0.5,-0.9999999998835847
2025-02-27,1000000.0,-0.5,-0.9999999999417923
2025-02-28,1000000.0,-0.5,-0.9999999999708962
2025-03-03,1000000.0,-0.5,-0.9999999999854481
2025-03-04,1000000.0,-0.5,-0.999999999992724
2025-03-05,1000000.0,-0.5,-0.999999999996362
2025-03-06,1000000.0,-0.5,-0.999999999998181
2025-03-07,1000000.0,-0.5,-0.9999999999990905
